objectid,filename,youtubeid, ,title,creator,circa,date,location,description,material,pattern ,design,format,rights ,longitude,lattitude,subject 
coll001,coll001-kdrtnzx4_6XrSfgxs.mp4,,,Back Stitch Tutorial,"Buechel, Abby",,2026-04-09,"Iowa City, Iowa ",Tutorial on how to do a back stitch for embroidery.,Canvas and thread,Back Stitch,N/A,video/mp4,Colletion Creator,41.6578°,-91.5346°,stichting;needle;thread
coll002,coll002_EjN4JsX8.mp4,,,Chain Stitch Tutorial,"Buechel, Abby",,2026-04-09,"Iowa City, Iowa",Tutorial on how to do a chain stitch for embroidery. ,Canvas and thread,Chain Stitch,N/A,video/mp4,Colletion Creator,41.6578°,-91.5346°,stichting;needle;thread
coll003,coll003_mHMhlJxP.mp4,,,Fishbone Stitch Tutorial,"Buechel, Abby",,2026-04-09,"Iowa City, Iowa",Tutorial on how to do a fishbone stitch for embroidery.,Canvas and thread,Fishbone Stitch,N/A,video/mp4,Colletion Creator,41.6578°,-91.5346°,stichting;needle;thread
coll004,coll004_0hAgBfo2.mp4,,,French Knot Stitch Tutorial,"Buechel, Abby",,2026-04-09,"Iowa City, Iowa",Tutorial on how to do a french knot stitch for embroidery.,Canvas and thread,French Knot Stitch,N/A,video/mp4,Colletion Creator,41.6578°,-91.5346°,stichting;needle;thread
coll005,coll005_OIqHDa4A.mp4,,,Lazy Daisy Stitch Tutorial,"Buechel, Abby",,2026-04-09,"Iowa City, Iowa",Tutorial on how to do a lazy daisy stitch for embroidery.,Canvas and thread,Lazy Daisy Stitch,N/A,video/mp4,Colletion Creator,41.6578°,-91.5346°,stichting;needle;thread
coll006,coll006_fhOwGKoZ.mp4,,,Running Stitch Tutorial,"Buechel, Abby",,2026-04-09,"Iowa City, Iowa",Tutorial on how to do a running stitch for embroidery.,Canvas and thread,Running Stitch,N/A,video/mp4,Colletion Creator,41.6578°,-91.5346°,stichting;needle;thread
coll007,coll007-0wi1igsi-nw76wndl_HFSx4q57.mp4,,,Woven Rose Stitch Tutorial ,"Buechel, Abby",,2026-04-09,"Iowa City, Iowa",Tutorial on how to do a woven rose stitch for embroidery.,Canvas and thread,Woven Rose Stitch,N/A,video/mp4,Colletion Creator,41.6578°,-91.5346°,stichting;needle;thread
coll008,coll008_kTteuJPt.mp4,,,Satin Stitch Tutorial,"Buechel, Abby",,2026-04-09,"Iowa City, Iowa",Tutorial on how to do a satin stitch for embroidery.,Canvas and thread,Satin Stitch,N/A,video/mp4,Colletion Creator,41.6578°,-91.5346°,stichting;needle;thread
coll009,coll009.png,,,Bindalli Wedding Dress,,Mid 19th- early 20th Century ,,Turkey,"A dress worn for weddings and other events by Muslim and Jewish women in the Turkish region. The name Bindalli means thousands of branches, which are depicted in the embroidery. Dresses like this one were mostly owned and worn by wealthy women due to the extensive embroidery in gold fabric, but this type of dress was common among many economic classes of women. ",Cotton and metal wrapped thread,N/A,"Blossoms, Chains, Branches, Floral, and Tassels ",image/png,Public Domain,41.6578°,-91.5346°,dress;fashion;traditional;wedding
coll010,coll010.png,,,Embroidary ,,18th Century,,Spain,"Silk embroidery with floral designs, potentially from the 18th century. Could potentially be Spanish and of the Spanish culture, but the exact location is unknown. Dimensions of the item are L.17 x W. 15 inches (43.2 x 38.1 cm).",Silk and metal thread,N/A,Florals,image/png,Public Domain,41.6578°,-91.5346°,silk;floral;thread
coll011,coll011.png,,,Embroidary Sample From a Man's Suit,,1800-1815,,France,Sample from a man's suit. Floral design found in the French culture of the 1800's. ,Silk embroidary on silk velvet,N/A,Florals,image/png,Public Domain,41.6578°,-91.5346°,fashion;french;clothing
coll012,coll012.png,,,Embroidary Textile With Dragon and Lotuses,,7th-8th Cenutury,,China,A piece of cloth depicting dragons and lotus flowers. From the Tang Dynasty in the 7th and 8th centuries. ,Silk with embroidary ,N/A,"Floral, Lotuses, and Dragons",image/png,Public Domain,41.6578°,-91.5346°,silk;textile;florals;dragons
coll013,coll013.png,,,Embroidary With the Annunciation,,Mid15th Century,,Netherlands,"This piece was originally made as part of an ophrey (or an altar frontal). Has a Netherlandish technique in this work, using gold to provide glitter and a 3-dimensional quality. The image is depicting the Virgin Mary is kneeling before her prayer book with the archangel Gabriel at her side, telling her of the coming birth of Jesus. ",Silk and metallic threads on linen,N/A,Religious scene between The Virgin Mary and Archangel Gabriel,image/png,Public Domain,41.6578°,-91.5346°,religion;art;scenery
coll014,coll014.png,,,Portrait of Charles II in Raised Work Embroidery,,,1675,England,Image of Charles II dressed in raised embroidery work and metal. The portrait is framed and considered textiles—embroidery—due to its 3D qualities. A recreation of the portrait originally done by John the Baptist Gaspers.,"Silk, lace, metal foil on silk",N/A,"Picture of Charles II, big hair seems to be the embroidery portion",image/png,Public Domain,41.6578°,-91.5346°,art;royalty;adaptation
coll015,coll015.png,,,Sampler,"Jackson, Angentte ",,1828,"Boston, Massachusetts"," Agnette Jackson, daughter of prominent Black Abolitionists. She attended school at The Garrison Juvenile Society, where she learned to read, write, and do basic sewing. She recited,  “On religion”, which is embroidered onto this piece when the school recently gained funds for needlework. ",Silk embroidered on Linen,N/A,"Floral, wording, and a building",image/png,Public Domain,41.6578°,-91.5346°,cloth;story;florals